area_code,time_slot,purpose,inflow_count,source_row_count,time_slot_inflow_total,purpose_share,source_period
3110013,daytime,commute,26236.231849176806,31,202255.47447340738,0.1297182779229363,20260801-20260831
3110013,daytime,other,161640.34766181782,31,202255.47447340738,0.7991889865165076,20260801-20260831
3110013,daytime,return_home,13710.25140248099,31,202255.47447340738,0.06778680002693138,20260801-20260831
3110013,daytime,school,668.6435599317473,31,202255.47447340738,0.0033059355336246326,20260801-20260831
3110013,evening,commute,1564.78501479801,31,87107.89503569597,0.017963756490232904,20260801-20260831
3110013,evening,other,65747.58937536323,31,87107.89503569597,0.7547833563010621,20260801-20260831
3110013,evening,return_home,19703.940425786994,31,87107.89503569597,0.22620154485092897,20260801-20260831
3110013,evening,school,91.58021974774482,31,87107.89503569597,0.0010513423577761367,20260801-20260831
3110013,morning,commute,95850.8396605482,31,140123.84337098646,0.6840437526879507,20260801-20260831
3110013,morning,other,39384.275943819484,31,140123.84337098646,0.2810676255828011,20260801-20260831
3110013,morning,return_home,2702.7028238669864,31,140123.84337098646,0.01928795812937713,20260801-20260831
3110013,morning,school,2186.0249427518024,31,140123.84337098646,0.015600663599871204,20260801-20260831
3110013,night,commute,857.7696703417902,31,13608.860193074548,0.06303023605006267,20260801-20260831
3110013,night,other,6335.8371122884355,31,13608.860193074548,0.4655670660436866,20260801-20260831
3110013,night,return_home,6400.00586883133,31,13608.860193074548,0.4702822850725035,20260801-20260831
3110013,night,school,15.247541612992498,18,13608.860193074548,0.0011204128337472276,20260801-20260831
3110015,daytime,commute,9291.614866571885,31,117567.47034756391,0.07903219180529399,20260801-20260831
3110015,daytime,other,82867.65921043222,31,117567.47034756391,0.7048519370660193,20260801-20260831
3110015,daytime,return_home,21865.813844262702,31,117567.47034756391,0.1859852370695818,20260801-20260831
3110015,daytime,school,3542.3824262971175,31,117567.47034756391,0.030130634059104926,20260801-20260831
3110015,evening,commute,491.4723994826466,31,65329.69231650317,0.007522955979979321,20260801-20260831
3110015,evening,other,29187.508147913108,31,65329.69231650317,0.44677247225516087,20260801-20260831
3110015,evening,return_home,34826.538261443726,31,65329.69231650317,0.53308896807166,20260801-20260831
3110015,evening,school,824.1735076636921,31,65329.69231650317,0.012615603693199924,20260801-20260831
3110015,morning,commute,21933.473607055523,31,56017.94421392474,0.3915437082677407,20260801-20260831
3110015,morning,other,22147.595876698033,31,56017.94421392474,0.3953660954089897,20260801-20260831
3110015,morning,return_home,3545.0193620792247,31,56017.94421392474,0.06328363905218101,20260801-20260831
3110015,morning,school,8391.85536809196,31,56017.94421392474,0.14980655727108855,20260801-20260831
3110015,night,commute,477.14350633215633,31,14778.951779584451,0.03228534157552901,20260801-20260831
3110015,night,other,4666.127259485254,31,14778.951779584451,0.3157278898447326,20260801-20260831
3110015,night,return_home,9467.253294472717,31,14778.951779584451,0.640590309493446,20260801-20260831
3110015,night,school,168.42771929432283,31,14778.951779584451,0.011396459086292426,20260801-20260831
3110017,daytime,commute,14852.432860895222,62,120236.02367909809,0.1235273124179104,20260801-20260831
3110017,daytime,other,95406.55861300432,62,120236.02367909809,0.7934939604093866,20260801-20260831
3110017,daytime,return_home,8918.481817887654,62,120236.02367909809,0.07417479009194854,20260801-20260831
3110017,daytime,school,1058.5503873108812,62,120236.02367909809,0.008803937080754446,20260801-20260831
3110017,evening,commute,541.5273663057222,62,42951.91032983912,0.012607759751479966,20260801-20260831
3110017,evening,other,28366.677364256935,62,42951.91032983912,0.6604287713031083,20260801-20260831
3110017,evening,return_home,13903.468242566367,62,42951.91032983912,0.32369848362501097,20260801-20260831
3110017,evening,school,140.23735671009834,55,42951.91032983912,0.0032649853204008497,20260801-20260831
3110017,morning,commute,42920.817446277426,62,69755.09528576848,0.6153072728299203,20260801-20260831
3110017,morning,other,19110.84006237858,62,69755.09528576848,0.27397052479229567,20260801-20260831
3110017,morning,return_home,1536.7688434474362,62,69755.09528576848,0.02203091884760094,20260801-20260831
3110017,morning,school,6186.668933665032,62,69755.09528576848,0.08869128353018312,20260801-20260831
3110017,night,commute,428.9252885177289,62,7267.392947393628,0.059020516934007033,20260801-20260831
3110017,night,other,2675.5160736112407,62,7267.392947393628,0.3681534895633772,20260801-20260831
3110017,night,return_home,4108.3443811612215,62,7267.392947393628,0.5653119916454545,20260801-20260831
3110017,night,school,54.60720410343646,36,7267.392947393628,0.007514001857161274,20260802-20260831
3110018,daytime,commute,14661.4050854648,62,106516.15163327067,0.1376449004273382,20260801-20260831
3110018,daytime,other,81602.26399579628,62,106516.15163327067,0.7661022553344629,20260801-20260831
3110018,daytime,return_home,9021.684398796964,62,106516.15163327067,0.08469780648720894,20260801-20260831
3110018,daytime,school,1230.7046937512569,62,106516.15163327067,0.01155416033043051,20260801-20260831
3110018,daytime,tourism,0.0934594613721789,31,106516.15163327067,8.774205595969592e-07,20260801-20260831
3110018,evening,commute,350.5136016504032,62,40357.840373450614,0.008685142673813349,20260801-20260831
3110018,evening,other,26070.142037942718,62,40357.840373450614,0.6459746556481488,20260801-20260831
3110018,evening,return_home,13815.717015086955,62,40357.840373450614,0.3423304341174712,20260801-20260831
3110018,evening,school,121.38969179211776,59,40357.840373450614,0.0030078341821276914,20260801-20260831
3110018,evening,tourism,0.07802697841685884,31,40357.840373450614,1.933378438856923e-06,20260801-20260831
3110018,morning,commute,48885.047720807175,62,72772.28464536733,0.6717536485082606,20260801-20260831
3110018,morning,other,17127.27551873503,62,72772.28464536733,0.23535437429509573,20260801-20260831
3110018,morning,return_home,1447.4603910961525,62,72772.28464536733,0.019890270013507096,20260801-20260831
3110018,morning,school,5312.484878991407,62,72772.28464536733,0.07300148545397632,20260801-20260831
3110018,morning,tourism,0.016135737568646728,31,72772.28464536733,2.2172916031534715e-07,20260801-20260831
3110018,night,commute,407.4785065058514,62,6812.366338665114,0.059814532315021825,20260801-20260831
3110018,night,other,2313.4678941791763,62,6812.366338665114,0.3395982804166843,20260801-20260831
3110018,night,return_home,4045.969601790523,62,6812.366338665114,0.59391544738672,20260801-20260831
3110018,night,school,45.44282345238974,50,6812.366338665114,0.006670637072828688,20260801-20260831
3110018,night,tourism,0.007512737173928637,30,6812.366338665114,1.1028087452209391e-06,20260801-20260831
3110019,daytime,commute,45407.52587676717,31,287483.79491650866,0.15794812326710264,20260801-20260831
3110019,daytime,other,234213.61149190264,31,287483.79491650866,0.8147019610615729,20260801-20260831
3110019,daytime,return_home,6595.8297849861265,31,287483.79491650866,0.02294330985474049,20260801-20260831
3110019,daytime,school,848.7321491668969,31,287483.79491650866,0.002952278229850787,20260801-20260831
3110019,daytime,tourism,418.09561368582627,31,287483.79491650866,0.0014543275867331931,20260801-20260831
3110019,evening,commute,1679.4590896666484,31,128427.46370187131,0.013077102367802792,20260801-20260831
3110019,evening,other,116577.5697029988,31,128427.46370187131,0.9077308415403998,20260801-20260831
3110019,evening,return_home,9474.672315141468,31,128427.46370187131,0.07377450306996457,20260801-20260831
3110019,evening,school,346.7049711519856,31,128427.46370187131,0.0026996170535362974,20260801-20260831
3110019,evening,tourism,349.0576229124136,31,128427.46370187131,0.002717935968296534,20260801-20260831
3110019,morning,commute,129417.44638859607,31,168641.55751659878,0.7674113563369929,20260801-20260831
3110019,morning,other,36251.890050331494,31,168641.55751659878,0.21496415583545206,20260801-20260831
3110019,morning,return_home,1891.0787882794234,31,168641.55751659878,0.011213598926191674,20260801-20260831
3110019,morning,school,1008.9582536399415,31,168641.55751659878,0.005982856589430119,20260801-20260831
