area_code,area_name,area_type_name,evaluated_quarters,above_expected_quarters,below_expected_quarters,mean_residual_z,mean_actual_to_expected_log_gap,persistent_gap
3110425,계상초등학교,골목상권,4,0,0,-0.1264733726000422,-0.2833711216284325,not_persistent
3110372,강북중학교,골목상권,4,0,0,-0.12782039205713008,-0.2919009594014188,not_persistent
3110085,경리단길남측,골목상권,4,0,0,-0.12794878767676773,-0.2851998882910527,not_persistent
3130128,돌곶이시장(석관황금시장),전통시장,4,0,0,-0.12932252873091404,-0.28597495723199184,not_persistent
3110569,홍대땡땡거리,골목상권,4,0,0,-0.12957918074118097,-0.290395761681153,not_persistent
3120106,마포역,발달상권,4,0,0,-0.13046723305924376,-0.2930550611346696,not_persistent
3111080,굽은다리역 3번,골목상권,4,0,0,-0.13172128026666635,-0.29270962281141966,not_persistent
3111015,석촌역 3번,골목상권,4,0,0,-0.13337100271765956,-0.3041121327615963,not_persistent
3110334,석관중앙교회,골목상권,4,0,0,-0.13424411413569926,-0.3009330694427206,not_persistent
3110007,사직공원(한국사회과학도서관),골목상권,4,1,1,-0.13471245784806246,-0.38244563956022404,not_persistent
3130007,광장시장(광장전통시장),전통시장,4,0,0,-0.1369552444645485,-0.30404473838221424,not_persistent
3120032,충무로역,발달상권,4,0,0,-0.13885361480916925,-0.31045991058537314,not_persistent
3130125,장위전통시장,전통시장,4,0,0,-0.13968743920720592,-0.31232181007743076,not_persistent
3110527,홍제역 2번,골목상권,4,0,0,-0.14119174183972108,-0.3192052117568025,not_persistent
3111075,굽은다리역 2번,골목상권,4,0,0,-0.14265566407440278,-0.31995873505873806,not_persistent
3110409,창동역 2번,골목상권,4,0,0,-0.1427743286747234,-0.31799855009496714,not_persistent
3110365,미아역 5번,골목상권,4,0,0,-0.14421951971443656,-0.3221506265919132,not_persistent
3120009,종로3가역,발달상권,4,0,0,-0.14690616959916464,-0.32743892297888344,not_persistent
3110399,창2동주민센터,골목상권,4,0,0,-0.14712081051709408,-0.327629378283568,not_persistent
3120194,언주역(차병원),발달상권,4,0,0,-0.14840710212826105,-0.321320050957004,not_persistent
3110525,홍은종합사회복지관,골목상권,4,0,0,-0.14950135802153577,-0.3364428282466445,not_persistent
3110205,경희대삼거리,골목상권,4,0,0,-0.14959378853822472,-0.33284059881096173,not_persistent
3110537,충정로현대아파트,골목상권,4,0,0,-0.15007353595712952,-0.3372668204818581,not_persistent
3110026,종로5가역 4번,골목상권,4,0,1,-0.15365669823664646,-0.3137344752946003,not_persistent
3110360,수유초등학교,골목상권,4,0,0,-0.15389836926045206,-0.342219867090626,not_persistent
3120086,태릉입구역,발달상권,4,0,0,-0.1540991442541127,-0.34615159695539255,not_persistent
3110138,송정체육공원,골목상권,4,0,0,-0.15430236387836876,-0.3446211315116141,not_persistent
3110301,성신여대입구역 7번,골목상권,4,0,0,-0.15694052252918028,-0.3495240903174066,not_persistent
3110008,배화여자대학교(박노수미술관),골목상권,4,0,0,-0.15717345406118063,-0.3501308091893085,not_persistent
3110428,상계5동주민센터,골목상권,4,0,0,-0.15884937067472438,-0.35692705259185953,not_persistent
3110579,마포역 4번,골목상권,4,0,0,-0.1635232386256793,-0.37899866510900004,not_persistent
