area_code,area_name,area_type_name,admin_code,admin_name,district_name,overlap_m2,area_m2,overlap_share
3111078,굽은다리역 4번,골목상권,11740530,명일1동,강동구,6757.048466320213,207327.9483884758,0.032591112384227884
3111078,굽은다리역 4번,골목상권,11740600,천호1동,강동구,226.37064396719433,207327.9483884758,0.0010918481841292217
3111078,굽은다리역 4번,골목상권,11740620,천호3동,강동구,0.5318106763387718,207327.9483884758,2.5650698831124503e-06
3111079,둔촌고등학교(둔촌중학교),골목상권,11740700,둔촌2동,강동구,66695.45206529515,66695.45206529513,1.0000000000000002
3111080,굽은다리역 3번,골목상권,11740530,명일1동,강동구,83549.28294875086,83549.28294875084,1.0000000000000002
3111081,둔촌푸르지오아파트,골목상권,11740700,둔촌2동,강동구,17571.353232711328,17651.304597768383,0.9954705124137304
3111081,둔촌푸르지오아파트,골목상권,11740685,길동,강동구,79.95136505694815,17651.304597768383,0.004529487586263523
3111082,중앙보훈병원,골목상권,11740700,둔촌2동,강동구,21834.479584546938,21834.47958454694,0.9999999999999998
3111083,GS강동자이아파트,골목상권,11740685,길동,강동구,81523.52909986173,81523.52909986173,1.0
3111084,길동신동아아파트,골목상권,11740685,길동,강동구,20962.41152124725,20962.41152124725,1.0
3111085,묘곡초등학교(고덕아이파크아파트),골목상권,11740550,고덕1동,강동구,144469.94876089928,144712.4151244849,0.9983244950795892
3111085,묘곡초등학교(고덕아이파크아파트),골목상권,11740560,고덕2동,강동구,242.46636358590743,144712.4151244849,0.001675504920412892
3111086,한영중고,골목상권,11740540,명일2동,강동구,75463.07602170331,75463.07602170334,0.9999999999999997
3111087,고덕중학교(고덕2동주민센터),골목상권,11740560,고덕2동,강동구,63496.64286828775,63496.64286828775,1.0
3111088,고덕동성당,골목상권,11740560,고덕2동,강동구,71669.1412375788,71669.14123757879,1.0000000000000002
3111089,상일여고(상일초등학교),골목상권,11740525,상일제1동,강동구,126942.86236599987,126942.86236599978,1.0000000000000007
3111090,강일동주민센터,골목상권,11740515,강일동,강동구,29486.003272235645,29486.00327223564,1.0000000000000002
3120001,서대문역,발달상권,11110580,교남동,종로구,64099.30556291904,148291.9353622425,0.43225078562997665
3120001,서대문역,발달상권,11410565,충현동,서대문구,51693.8643209291,148291.9353622425,0.3485952502720602
3120001,서대문역,발달상권,11410520,천연동,서대문구,21467.350222107587,148291.9353622425,0.14476411120852845
3120001,서대문역,발달상권,11140520,소공동,중구,9095.549007313535,148291.9353622425,0.06133542586179914
3120001,서대문역,발달상권,11110530,사직동,종로구,1935.8662489730687,148291.9353622425,0.013054427027634376
3120002,서촌(경복궁역),발달상권,11110530,사직동,종로구,96708.60082527724,176636.78049779034,0.5474997933767652
